    2   10    6 1     270.300   7.554
    2    3   12 1     164.300   7.539
    0   12    4 1      23.900   7.525
    4    0    8 1     299.200   7.523
    1   11    6 1     252.900   7.515
    1   12    3 1     110.700   7.513
    1    7   11 1     249.600   7.512
    0    6   12 1      17.100   7.511
    3   10    0 1     244.800   7.511
    2    8    9 1     345.800   7.502
    4    1    8 1     195.100   7.499
    1    3   13 1     238.300   7.495
    4    5    6 1     306.300   7.493
    3    4   10 1     285.000   7.492
    3   10    1 1     342.100   7.491
    0    4   13 1      40.800   7.483
    2    7   10 1     370.100   7.475
    4    7    3 1     134.600   7.467
    3    9    5 1     501.700   7.459
    2   11    4 1     279.900   7.458
    4    6    5 1     155.200   7.454
    1   10    8 1     333.000   7.450
    3    0   11 1     220.600   7.449
    4    4    7 1     635.500   7.446
    2    9    8 1     646.700   7.441
    3    7    8 1     285.600   7.434
    5    0    0 1       0.000   7.432
    3   10    2 1     152.100   7.432
    4    2    8 1      72.700   7.429
    3    1   11 1     130.000   7.426
    5    0    1 1     658.000   7.413
    5    1    0 1     884.900   7.409
    0   11    7 1     218.500   7.409
    3    6    9 1     304.100   7.402
    5    1    1 1     439.300   7.390
    3    8    7 1     181.800   7.382
    2    4   12 1      72.700   7.376
    1   12    4 1     147.700   7.375
    2    6   11 1     128.900   7.365
    1    6   12 1     145.000   7.362
    3    2   11 1     130.400   7.358
    5    0    2 1     688.600   7.355
    0   12    5 1      89.700   7.349
    5    2    0 1      58.200   7.342
    3   10    3 1     305.800   7.336
    1    4   13 1     220.500   7.335
    0    9   10 1     287.500   7.335
    5    1    2 1     618.000   7.333
    4    7    4 1     388.800   7.332
    0    0   14 1     222.500   7.326
    5    2    1 1     524.900   7.323
    0    8   11 1     160.300   7.317
    4    3    8 1     233.000   7.317
    0    1   14 1     100.000   7.304
    4    8    0 1     242.300   7.301
    2   10    7 1     672.400   7.301
    3    5   10 1     230.900   7.288
    2   11    5 1     210.900   7.287
    4    8    1 1     367.300   7.283
    0    5   13 1     147.300   7.280
    0   10    9 1     562.900   7.272
    5    2    2 1     410.700   7.268
    0   13    0 1       0.000   7.266
    1   11    7 1     425.800   7.266
    5    0    3 1     413.500   7.262
    2    0   13 1     154.800   7.262
    3    9    6 1     487.900   7.251
    3    3   11 1     175.200   7.249
    2   12    0 1     383.600   7.248
    0   13    1 1      26.100   7.248
    4    6    6 1     466.400   7.246
    4    5    7 1     150.400   7.246
    5    1    3 1     622.600   7.241
    2    1   13 1     154.000   7.240
    0    2   14 1     233.900   7.239
    5    3    0 1      52.000   7.233
    2   12    1 1     239.200   7.230
    4    8    2 1     277.500   7.228
    0    7   12 1      59.900   7.220
    5    3    1 1     646.900   7.215
    1   12    5 1      76.100   7.209
    3   10    4 1     214.300   7.208
    4    0    9 1      99.300   7.200
    1    9   10 1     183.100   7.196
    0   13    2 1      19.100   7.194
    1    0   14 1      65.900   7.187
    2    5   12 1     170.100   7.182
    4    1    9 1     125.500   7.180
    1    8   11 1     458.900   7.180
    5    2    3 1     561.600   7.178
    2    2   13 1      75.100   7.177
    2   12    2 1     242.000   7.177
    4    7    5 1     552.700   7.169
    4    4    8 1     330.000   7.168
    1    1   14 1     241.700   7.167
    5    3    2 1     343.500   7.162
    0   12    6 1     344.400   7.150
    2    8   10 1     111.100   7.147
    1    5   13 1     168.000   7.144
    4    8    3 1     287.600   7.140
    5    0    4 1     102.600   7.138
    1   10    9 1     504.100   7.137
    0    3   14 1     144.100   7.135
    0   11    8 1     621.200   7.135
    1   13    0 1     172.400   7.131
    2    9    9 1     496.900   7.129
    3    7    9 1     542.800   7.123
    4    2    9 1     123.100   7.118
    5    1    4 1     409.500   7.118
    1   13    1 1      82.400   7.114
    3    8    8 1     208.200   7.111
    0   13    3 1      37.700   7.107
    1    2   14 1     131.500   7.106
    3    4   11 1      19.900   7.104
    2   11    6 1     129.100   7.092
    2   12    3 1     200.500   7.090
    2    7   11 1     487.200   7.090
    5    4    0 1     389.800   7.089
    1    7   12 1     278.600   7.088
    5    3    3 1     362.400   7.077
    2    3   13 1     342.100   7.076
    5    4    1 1     221.800   7.072
    1   13    2 1      21.000   7.063
    3    6   10 1     125.800   7.061
    5    2    4 1     487.600   7.058
    3   11    0 1     198.500   7.057
    0    6   13 1      15.400   7.053
    3   10    5 1     225.000   7.053
    3   11    1 1     307.800   7.041
    2   10    8 1     447.100   7.038
    3    0   12 1     133.600   7.035
    3    9    7 1      43.500   7.027
    5    4    2 1     668.900   7.022
    4    6    7 1     308.300   7.022
    4    8    4 1      99.800   7.022
    1   12    6 1     202.700   7.021
    4    3    9 1     307.700   7.019
    3    1   12 1     249.100   7.015
    1    3   14 1     124.600   7.007
    1   11    8 1     748.800   7.007
    0    4   14 1     224.000   6.997
    3   11    2 1     182.500   6.991
    0   13    4 1      98.600   6.991
    4    5    8 1     539.500   6.989
    5    0    5 1     296.800   6.987
    4    7    6 1     271.100   6.984
    1   13    3 1     287.800   6.981
    2   12    4 1      44.100   6.975
    0    9   11 1     162.100   6.970
    5    1    5 1     163.300   6.968
    2    6   12 1     235.700   6.964
    5    3    4 1     376.900   6.962
    3    2   12 1      18.000   6.958
    4    9    0 1     388.100   6.956
    0   10   10 1     216.200   6.948
    5    4    3 1     314.000   6.942
    2    4   13 1     138.000   6.941
    4    9    1 1     200.500   6.940
    0   12    7 1     151.800   6.934
    3    5   11 1     243.800   6.930
    1    6   13 1     173.900   6.929
    0    8   12 1     556.100   6.923
    5    5    0 1     217.600   6.916
    5    2    5 1     208.300   6.912
    3   11    3 1      57.600   6.911
    5    5    1 1     407.200   6.900
    4    9    2 1     384.300   6.893
    4    4    9 1     195.900   6.887
    4    0   10 1      85.100   6.885
    2   11    7 1     315.500   6.882
    4    8    5 1     223.400   6.878
    3   10    6 1     337.800   6.877
    1    4   14 1     153.100   6.876
    1   13    4 1     115.400   6.870
    4    1   10 1      47.100   6.867
    3    3   12 1     119.300   6.865
    0   11    9 1     380.300   6.858
    5    5    2 1     329.600   6.854
    1    9   11 1     229.100   6.851
    0   13    5 1     127.500   6.849
    0    0   15 1       0.000   6.837
    3    8    9 1     122.800   6.837
    2   12    5 1     265.000   6.834
    5    4    4 1     158.900   6.833
    0    5   14 1      34.000   6.830
    1   10   10 1      64.400   6.830
    2    9   10 1     130.300   6.823
    5    3    5 1     252.700   6.822
    0    1   15 1     162.000   6.819
    3    7   10 2     192.400   6.817
    4    9    3 1     243.800   6.817
    1   12    7 1     134.400   6.817
    5    0    6 1     217.600   6.816
    2    0   14 1     102.500   6.815
