    8    7    3 1   1512.3   38.6  11.199
   13    0    3 1   1491.9   55.8  11.199
   12    0    6 1   2717.8   76.5  11.186
    8    0   11 1   4209.3  113.5  11.185
   11    3    4 2   3369.5   70.8  11.181
    3    2   13 1   2672.8   53.9  11.179
    8    2   10 1   2604.0   53.8  11.178
    6    1   12 1   4538.1   88.5  11.165
   10    5    2 1   1423.0   36.6  11.159
   11    1    7 1   1598.8   40.5  11.147
    9    4    7 1   2798.9   55.4  11.147
    9    2    9 1   1010.4   31.3  11.143
    9    6    3 1   2971.5   57.6  11.137
   10    4    5 1   1757.8   41.8  11.135
